,rxn_smiles,solvent,temp
0,[CH2-:3][N+:4]#[C:5][CH3:6].[CH2:1]=[CH2:2]>>[CH2:1]1[CH2:2][CH2:3][N:4]=[C:5]1[CH3:6],water,298.15 
1,[CH2:1]=[CH2:2].[CH:3]#[N+:4][N-:5][CH3:6]>>[CH2:1]1[CH2:2][N:5]([CH3:6])[N:4]=[CH:3]1,water,298.15 
2,[CH2:1]=[CH2:2].[CH3:3][N:4]=[NH+:5][NH-:6]>>[CH2:1]1[CH2:2][NH:6][NH:5][N:4]1[CH3:3],water,298.15 
3,[CH2:1]=[CH2:2].[CH2:3]=[O+:4][C-:5]([CH3:6])[CH3:7]>>[CH2:1]1[CH2:2][C:5]([CH3:6])([CH3:7])[O:4][CH2:3]1,water,298.15 
4,[CH2:1]=[CH2:2].[CH3:3][C:4](=[O:5])[N-:6][N+:7]#[N:8]>>[CH2:1]1[CH2:2][N:6]([C:4]([CH3:3])=[O:5])[N:7]=[N:8]1,water,298.15 
5,[CH2:1]=[CH2:2].[CH3:3][C:4]([C:5]#[N:6])=[O+:7][O-:8]>>[CH2:1]1[CH2:2][O:8][O:7][C:4]1([CH3:3])[C:5]#[N:6],water,298.15 
6,[CH3:1]/[CH:2]=[CH:3]/[CH3:4].[CH:5]#[N+:6][N-:7][CH3:8]>>[CH3:1][C@H:2]1[C@H:3]([CH3:4])[N:7]([CH3:8])[N:6]=[CH:5]1,water,298.15 
7,[CH3:1]/[CH:2]=[CH:3]/[CH3:4].[CH3:5][N-:6][N+:7]#[N:8]>>[CH3:1][C@H:2]1[C@H:3]([CH3:4])[N:6]([CH3:5])[N:7]=[N:8]1,water,298.15 
8,[CH2:1]=[CH2:2].[CH3:3][C:4]#[N+:5][C-:6]([C:7]#[N:8])[C:9]#[N:10]>>[CH2:1]1[CH2:2][C:6]([C:7]#[N:8])([C:9]#[N:10])[N:5]=[C:4]1[CH3:3],water,298.15 
9,[CH3:1]/[CH:2]=[CH:3]/[CH3:4].[CH3:5][C:6]#[N+:7][CH-:8][CH3:9]>>[CH3:1][C@H:2]1[C@H:3]([CH3:4])[CH:8]([CH3:9])[N:7]=[C:6]1[CH3:5],water,298.15 
10,[CH2:1]=[CH2:2].[CH3:3][NH:4][C:5](=[O:6])[CH:7]=[NH+:8][O-:9]>>[CH2:1]1[CH2:2][O:9][NH:8][CH:7]1[C:5]([NH:4][CH3:3])=[O:6],water,298.15 
11,[CH2:1]=[CH2:2].[CH3:3][NH:4][C:5](=[O:6])[N:7]=[O+:8][NH-:9]>>[CH2:1]1[CH2:2][NH:9][O:8][N:7]1[C:5]([NH:4][CH3:3])=[O:6],water,298.15 
12,[CH3:1]/[CH:2]=[CH:3]\[CH3:4].[CH3:5][N:6]=[N+:7]([CH3:8])[NH-:9]>>[CH3:1][C@H:2]1[C@@H:3]([CH3:4])[NH:9][N:7]([CH3:8])[N:6]1[CH3:5],water,298.15 
13,[CH2:1]=[CH2:2].[CH3:3][C:4](=[O:5])[N-:6][N+:7]#[C:8][C:9]#[N:10]>>[CH2:1]1[CH2:2][N:6]([C:4]([CH3:3])=[O:5])[N:7]=[C:8]1[C:9]#[N:10],water,298.15 
14,[CH2:6]=[NH+:7][N-:8][CH3:9].[NH2+:1]=[C:2]([NH2:3])[NH:4][CH3:5]>>[NH2+:1]1[C:2]([NH2:3])([NH:4][CH3:5])[CH2:6][NH:7][N:8]1[CH3:9],water,298.15 
15,[CH2:6]=[NH+:7][N-:8][CH3:9].[NH2+:1]=[C:2]([NH2:3])[NH:4][CH3:5]>>[NH2+:1]1[C:2]([NH2:3])([NH:4][CH3:5])[N:8]([CH3:9])[NH:7][CH2:6]1,water,298.15 
16,[CH3:1]/[CH:2]=[CH:3]/[CH3:4].[CH3:5][C:6]#[N+:7][N-:8][C:9]#[N:10]>>[CH3:1][C@H:2]1[C@H:3]([CH3:4])[N:8]([C:9]#[N:10])[N:7]=[C:6]1[CH3:5],water,298.15 
17,[CH3:1]/[CH:2]=[CH:3]\[CH3:4].[CH3:5][C:6]#[N+:7][CH-:8][C:9]#[N:10]>>[CH3:1][C@H:2]1[C@@H:3]([CH3:4])[CH:8]([C:9]#[N:10])[N:7]=[C:6]1[CH3:5],water,298.15 
18,[CH3:1]/[CH:2]=[CH:3]/[CH3:4].[CH3:5][C:6]#[N+:7][CH-:8][C:9]#[N:10]>>[CH3:1][C@H:2]1[C@H:3]([CH3:4])[CH:8]([C:9]#[N:10])[N:7]=[C:6]1[CH3:5],water,298.15 
19,[CH3:1]/[CH:2]=[CH:3]\[CH3:4].[CH3:5][CH:6]=[O+:7][N-:8][C:9]#[N:10]>>[CH3:1][C@@H:2]1[C@H:3]([CH3:4])[N:8]([C:9]#[N:10])[O:7][CH:6]1[CH3:5],water,298.15 
20,[CH2:1]=[CH2:2].[CH3:3][C:4]#[N+:5][C-:6]([CH3:7])[C:8]([CH3:9])=[O:10]>>[CH2:1]1[CH2:2][C:6]([CH3:7])([C:8]([CH3:9])=[O:10])[N:5]=[C:4]1[CH3:3],water,298.15 
