,rxn_smiles,solvent,temp
0,[CH3:4][C:5](=[O:6])[C:7]#[N+:8][O-:9].[CH:1]#[C:2][CH3:3]>>[cH:1]1[c:2]([CH3:3])[o:9][n:8][c:7]1[C:5]([CH3:4])=[O:6],water,298.15
1,[CH3:4][C:5](=[O:6])[C:7]#[N+:8][O-:9].[CH:1]#[C:2][CH3:3]>>[cH:1]1[c:2]([CH3:3])[c:7]([C:5]([CH3:4])=[O:6])[n:8][o:9]1,water,298.15
2,[CH2:1]=[CH:2][CH3:3].[CH:4]#[N+:5][C-:6]([CH3:7])[C:8]#[N:9]>>[CH2:1]1[CH:2]([CH3:3])[CH:4]=[N:5][C:6]1([CH3:7])[C:8]#[N:9],water,298.15
3,[CH2:1]=[CH:2][CH3:3].[CH:4]#[N+:5][C-:6]([CH3:7])[C:8]#[N:9]>>[CH2:1]1[CH:2]([CH3:3])[C:6]([CH3:7])([C:8]#[N:9])[N:5]=[CH:4]1,water,298.15
4,[CH3:1][C:2]#[C:3][CH3:4].[CH3:5][N-:6][N+:7]#[C:8][C:9]([CH3:10])=[O:11]>>[CH3:1][c:2]1[c:3]([CH3:4])[n:6]([CH3:5])[n:7][c:8]1[C:9]([CH3:10])=[O:11],water,298.15
5,[CH3:1][NH:2][C:3](=[O:4])[C:5]#[C:6][F:7].[CH3:8][CH:9]=[O+:10][O-:11]>>[CH3:1][NH:2][C:3](=[O:4])[C:5]1=[C:6]([F:7])[O:11][O:10][CH:9]1[CH3:8],water,298.15
6,[CH3:1][NH:2][C:3](=[O:4])[C:5]#[C:6][F:7].[CH3:8][CH:9]=[O+:10][O-:11]>>[CH3:1][NH:2][C:3](=[O:4])[C:5]1=[C:6]([F:7])[CH:9]([CH3:8])[O:10][O:11]1,water,298.15
7,[CH2-:8][O+:9]=[CH:10][CH3:11].[CH3:1][C:2]#[C:3][C:4](=[O:5])[NH:6][CH3:7]>>[CH3:1][C:2]1=[C:3]([C:4](=[O:5])[NH:6][CH3:7])[CH:10]([CH3:11])[O:9][CH2:8]1,water,298.15
8,[CH2-:8][O+:9]=[CH:10][CH3:11].[CH3:1][C:2]#[C:3][C:4](=[O:5])[NH:6][CH3:7]>>[CH3:1][C:2]1=[C:3]([C:4](=[O:5])[NH:6][CH3:7])[CH2:8][O:9][CH:10]1[CH3:11],water,298.15
9,[CH2:8]=[NH+:9][CH-:10][CH3:11].[CH3:1][C:2]#[C:3][C:4]([F:5])([F:6])[F:7]>>[CH3:1][C:2]1=[C:3]([C:4]([F:5])([F:6])[F:7])[CH:10]([CH3:11])[NH:9][CH2:8]1,water,298.15
10,[CH2:8]=[NH+:9][CH-:10][CH3:11].[CH3:1][C:2]#[C:3][C:4]([F:5])([F:6])[F:7]>>[CH3:1][C:2]1=[C:3]([C:4]([F:5])([F:6])[F:7])[CH2:8][NH:9][CH:10]1[CH3:11],water,298.15
11,[CH2:1]=[C:2]([CH3:3])[CH3:4].[CH3:5][C-:6]([C:7]#[N:8])[N+:9]#[C:10][C:11]#[N:12]>>[CH2:1]1[C:2]([CH3:3])([CH3:4])[C:10]([C:11]#[N:12])=[N:9][C:6]1([CH3:5])[C:7]#[N:8],water,298.15
12,[CH2:1]=[C:2]([CH3:3])[CH3:4].[CH3:5][C-:6]([C:7]#[N:8])[N+:9]#[C:10][C:11]#[N:12]>>[CH2:1]1[C:2]([CH3:3])([CH3:4])[C:6]([CH3:5])([C:7]#[N:8])[N:9]=[C:10]1[C:11]#[N:12],water,298.15
13,[CH3:1][O:2][C:3]#[C:4][O:5][CH3:6].[CH3:7][C:8]([CH3:9])=[NH+:10][O-:11]>>[CH3:1][O:2][C:3]1=[C:4]([O:5][CH3:6])[O:11][NH:10][C:8]1([CH3:7])[CH3:9],water,298.15
14,[CH3:4][O:5][C:6](=[O:7])[N-:8][NH+:9]=[C:10]([CH3:11])[C:12]#[N:13].[CH:1]#[C:2][CH3:3]>>[CH:1]1=[C:2]([CH3:3])[C:10]([CH3:11])([C:12]#[N:13])[NH:9][N:8]1[C:6]([O:5][CH3:4])=[O:7],water,298.15
15,[CH3:4][O:5][C:6](=[O:7])[N-:8][NH+:9]=[C:10]([CH3:11])[C:12]#[N:13].[CH:1]#[C:2][CH3:3]>>[CH:1]1=[C:2]([CH3:3])[N:8]([C:6]([O:5][CH3:4])=[O:7])[NH:9][C:10]1([CH3:11])[C:12]#[N:13],water,298.15
16,[CH2:10]=[NH+:11][CH-:12][CH3:13].[F:1][C:2]1=[C:3]([F:4])[CH:5]2[CH:6]=[CH:7][CH:8]1[O:9]2>>[F:1][C:2]12[C:3]([F:4])([CH:5]3[CH:6]=[CH:7][CH:8]1[O:9]3)[CH:12]([CH3:13])[NH:11][CH2:10]2,water,298.15
17,[CH2:10]=[NH+:11][CH-:12][CH3:13].[F:1][C:2]1=[C:3]([F:4])[CH:5]2[CH:6]=[CH:7][CH:8]1[O:9]2>>[F:1][C:2]1=[C:3]([F:4])[CH:5]2[CH:6]3[CH:7]([CH:8]1[O:9]2)[CH:12]([CH3:13])[NH:11][CH2:10]3,water,298.15
18,[CH3:1][C:2]#[C:3][F:4].[CH3:5][C:6](=[O:7])[CH:8]=[O+:9][CH-:10][C:11]([CH3:12])=[O:13]>>[CH3:1][C:2]1=[C:3]([F:4])[CH:10]([C:11]([CH3:12])=[O:13])[O:9][CH:8]1[C:6]([CH3:5])=[O:7],water,298.15
19,[CH3:1][C:2]#[C:3][CH3:4].[CH3:5][C:6]([C:7]#[N:8])=[NH+:9][C-:10]([C:11]#[N:12])[C:13]#[N:14]>>[CH3:1][C:2]1=[C:3]([CH3:4])[C:10]([C:11]#[N:12])([C:13]#[N:14])[NH:9][C:6]1([CH3:5])[C:7]#[N:8],water,298.15
20,[CH3:10][CH:11]=[N+:12]([CH3:13])[NH-:14].[CH3:1][C:2]([C:3]#[N:4])=[C:5]([C:6]#[N:7])[C:8]#[N:9]>>[CH3:1][C:2]1([C:3]#[N:4])[C:5]([C:6]#[N:7])([C:8]#[N:9])[NH:14][N:12]([CH3:13])[CH:11]1[CH3:10],water,298.15
21,[CH3:10][CH:11]=[N+:12]([CH3:13])[NH-:14].[CH3:1][C:2]([C:3]#[N:4])=[C:5]([C:6]#[N:7])[C:8]#[N:9]>>[CH3:1][C:2]1([C:3]#[N:4])[C:5]([C:6]#[N:7])([C:8]#[N:9])[CH:11]([CH3:10])[N:12]([CH3:13])[NH:14]1,water,298.15
22,[CH3:1][O:2][C:3]([O:4][CH3:5])=[C:6]([F:7])[F:8].[CH3:9][C-:10]([CH3:11])[N+:12]#[N:13]>>[CH3:1][O:2][C:3]1([O:4][CH3:5])[C:6]([F:7])([F:8])[N:13]=[N:12][C:10]1([CH3:9])[CH3:11],water,298.15
23,[CH3:1][O:2][C:3]([O:4][CH3:5])=[C:6]([F:7])[F:8].[CH3:9][C-:10]([CH3:11])[N+:12]#[N:13]>>[CH3:1][O:2][C:3]1([O:4][CH3:5])[C:6]([F:7])([F:8])[C:10]([CH3:9])([CH3:11])[N:12]=[N:13]1,water,298.15
24,[CH3:7][C:8](=[O:9])[N-:10][O+:11]=[N:12][C:13]#[N:14].[CH:1]#[C:2][C:3](=[O:4])[O:5][CH3:6]>>[CH:1]1=[C:2]([C:3](=[O:4])[O:5][CH3:6])[N:10]([C:8]([CH3:7])=[O:9])[O:11][N:12]1[C:13]#[N:14],water,298.15
25,[CH3:7][C:8](=[O:9])[N-:10][O+:11]=[N:12][C:13]#[N:14].[CH:1]#[C:2][C:3](=[O:4])[O:5][CH3:6]>>[CH:1]1=[C:2]([C:3](=[O:4])[O:5][CH3:6])[N:12]([C:13]#[N:14])[O:11][N:10]1[C:8]([CH3:7])=[O:9],water,298.15
26,[CH3:8][N-:9][N+:10]#[C:11][C:12]([CH3:13])=[O:14].[CH:1]1=[CH:2][CH:3]2[CH:4]=[CH:5][CH:6]1[O:7]2>>[CH:1]1=[CH:2][CH:3]2[CH:4]3[CH:5]([CH:6]1[O:7]2)[N:9]([CH3:8])[N:10]=[C:11]3[C:12]([CH3:13])=[O:14],water,298.15
27,[CH3:1]/[C:2]([F:3])=[C:4](\[CH3:5])[F:6].[CH3:7][C:8](=[O:9])[N-:10][N+:11]#[C:12][C:13]#[N:14]>>[CH3:1][C@@:2]1([F:3])[C@:4]([CH3:5])([F:6])[N:10]([C:8]([CH3:7])=[O:9])[N:11]=[C:12]1[C:13]#[N:14],water,298.15
28,[CH3:1][NH:2][C:3](=[O:4])[C:5]#[C:6][NH2:7].[CH3:8][CH-:9][O+:10]=[C:11]([CH3:12])[C:13]#[N:14]>>[CH3:1][NH:2][C:3](=[O:4])[C:5]1=[C:6]([NH2:7])[C:11]([CH3:12])([C:13]#[N:14])[O:10][CH:9]1[CH3:8],water,298.15
29,[CH3:1][NH:2][C:3](=[O:4])[C:5]#[C:6][NH2:7].[CH3:8][CH-:9][O+:10]=[C:11]([CH3:12])[C:13]#[N:14]>>[CH3:1][NH:2][C:3](=[O:4])[C:5]1=[C:6]([NH2:7])[CH:9]([CH3:8])[O:10][C:11]1([CH3:12])[C:13]#[N:14],water,298.15
