,dipolarophile
0,CNC(=O)C=C(C(=O)NC)C(=O)NC
1,COC(OC)=C(OC)c1ccccc1
2,CC(=O)/C(C)=C(/C)C(C)=O
3,COC(=O)/C(F)=C(/F)C(=O)OC
4,COC(=O)C(F)=C(C(=O)OC)C(=O)OC
5,BrC(Br)=C(Br)c1ccccc1
6,CC(=O)C(C)=C(C(C)=O)C(C)=O
7,COC(C)=C(OC)OC
8,CC(C)=C(C)c1ccccc1
9,CNC(=O)/C(C(=O)OC)=C(/C(=O)NC)C(=O)OC
10,Br/C(=C(\Br)c1ccccc1)c1ccccc1
11,C=C(C(=O)OC)C(=O)OC
12,C/C(C#N)=C(\C)C#N
13,CC=C(C)C
14,ClC(Cl)=C(c1ccccc1)c1ccccc1
15,COC(OC)=C(C)C
16,COC(OC)=C(OC)C(C)=O
17,N#CC(C#N)=C(c1ccccc1)c1ccccc1
18,CNC(=O)C(C(=O)NC)=C(F)F
19,FC(F)=C(F)c1ccccc1
20,CC(=O)/C(C)=C(\C)C(C)=O
21,CNC(=O)C(C)=C(C(=O)NC)C(=O)NC
22,COC(=O)C(C(=O)OC)=C(C)C
23,C/C(=C(/C)C(F)(F)F)C(F)(F)F
24,COC(C#N)=C(C#N)C#N
25,COC(OC)=C(OC)C(F)(F)F
26,COC(=O)C(C#N)=C(C(=O)OC)C(=O)OC
27,C=C(C(=O)NC)C(=O)NC
28,CNC(=O)/C(C)=C(\C)C(=O)NC
29,CC(=O)/C(Cl)=C(\Cl)C(C)=O
30,COC(=O)C(C(=O)OC)=C(F)F
31,CC(C)=C(C#N)C#N
32,C/C=C\C
33,CNC(=O)/C(C(C)=O)=C(/C(C)=O)C(=O)NC
34,CC(F)=C(F)F
35,CC(C)=C(Cl)Cl
36,CNC(=O)/C(F)=C(/F)C(=O)NC
37,C=CC(C)=O
38,C(=C(c1ccccc1)c1ccccc1)c1ccccc1
39,CNC(=O)C(F)=C(F)F
40,CC(=O)C(C(C)=O)=C(C)C
41,CNC(=O)/C(=C(/C(=O)NC)c1ccccc1)c1ccccc1
42,CC(=O)C(C(C)=O)=C(F)F
43,CC(=O)C(F)=C(F)F
44,CNC(=O)C(C(=O)OC)=C(C(=O)OC)C(=O)OC
45,COC(C#N)=C(OC)OC
46,COC(=O)C(OC)=C(OC)OC
47,COC(C(C)=O)=C(C(C)=O)C(C)=O
48,CNC(=O)C(C(=O)NC)=C(C(=O)NC)c1ccccc1
49,FC(F)(F)C(=C(C(F)(F)F)C(F)(F)F)c1ccccc1
50,COC(Cl)=C(Cl)Cl
51,CNC(=O)/C(F)=C(\F)C(=O)NC
52,CNC(=O)C(C(=O)NC)=C(C(C)=O)C(C)=O
53,COC(=O)C(=C(C(F)(F)F)C(F)(F)F)C(F)(F)F
54,COC(=O)/C(OC)=C(/OC)C(=O)OC
55,COC(=O)/C(C#N)=C(\C#N)C(=O)OC
56,CC(C)=C(Br)Br
57,CC(Br)=C(Br)Br
58,CNC(=O)C(C(=O)NC)=C(Br)Br
59,CO/C(Cl)=C(/Cl)OC
60,Cl/C(=C(/Cl)c1ccccc1)c1ccccc1
61,COC(=C(c1ccccc1)c1ccccc1)c1ccccc1
62,COC(Cl)=C(OC)OC
63,CNC(=O)/C(Br)=C(\Br)C(=O)NC
64,COC(=O)/C(Br)=C(/Br)C(=O)OC
65,CNC(=O)C(C(=O)NC)=C(C(=O)OC)C(=O)OC
66,COC(=O)C(C(=O)OC)=C(c1ccccc1)c1ccccc1
67,COC(=O)/C=C\C(=O)OC
68,C/C(F)=C(\C)F
69,COC(=O)C(=C(c1ccccc1)c1ccccc1)c1ccccc1
70,CNC(=O)C(Cl)=C(C(=O)NC)C(=O)NC
71,CNC(=O)C(Br)=C(Br)Br
72,CC(C#N)=C(C#N)C#N
73,COC(=O)/C(C)=C(\C)C(=O)OC
74,COC(F)=C(F)F
75,CNC(=O)C(OC)=C(OC)OC
76,CNC(=O)C(C(=O)NC)=C(Cl)Cl
77,CC(=O)C(C(C)=O)=C(C#N)C#N
78,CC(=O)C(Br)=C(Br)Br
79,CC(=O)C(Cl)=C(Cl)Cl
80,CNC(=O)C(C#N)=C(C#N)C#N
81,FC(F)(F)/C(=C(/c1ccccc1)C(F)(F)F)c1ccccc1
82,COC(=O)/C(=C(/C(=O)OC)C(F)(F)F)C(F)(F)F
83,C=Cc1ccccc1
84,C/C(=C(\C)c1ccccc1)c1ccccc1
85,BrC(Br)=C(c1ccccc1)c1ccccc1
86,COC=C(OC)OC
87,CNC(=O)/C(Cl)=C(/Cl)C(=O)NC
88,BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1
89,CNC(=O)C(C(C)=O)=C(C(=O)NC)C(=O)NC
90,CC(=O)/C(F)=C(\F)C(C)=O
91,CNC(=O)C(C(=O)NC)=C(C#N)C#N
92,CO/C(Cl)=C(\Cl)OC
93,C/C(Br)=C(\C)Br
94,CC(=O)C(Br)=C(C(C)=O)C(C)=O
95,COC(=C(C(F)(F)F)C(F)(F)F)C(F)(F)F
96,CC(=O)/C(C#N)=C(\C#N)C(C)=O
97,CC(=O)/C(=C(/C(C)=O)C(F)(F)F)C(F)(F)F
98,N#C/C(=C(\C#N)c1ccccc1)c1ccccc1
99,COC(=O)C(C(=O)OC)=C(C(=O)OC)C(F)(F)F
100,CO/C(=C(/OC)C(F)(F)F)C(F)(F)F
101,CC(C)=C(C)Br
102,N#CC(=C(c1ccccc1)c1ccccc1)c1ccccc1
103,CNC(=O)C(C(=O)NC)=C(C(F)(F)F)C(F)(F)F
104,CNC(=O)C(C(=O)NC)=C(C)C
105,COC(OC)=C(c1ccccc1)c1ccccc1
106,CNC(=O)/C(C#N)=C(/C#N)C(=O)NC
107,COC(=O)/C(Cl)=C(/Cl)C(=O)OC
108,COC(=O)/C(=C(\C(=O)OC)C(F)(F)F)C(F)(F)F
109,CNC(=O)C(C#N)=C(C(=O)NC)C(=O)NC
110,C/C(Cl)=C(/C)Cl
111,CNC(=O)/C=C/C(=O)NC
112,COC(Br)=C(OC)OC
113,COC(=O)/C=C/C(=O)OC
