,reaction_id,rxn_smiles,solvent,temp,G_act,G_r
0,0,[CH3:4][C:5](=[O:6])[C:7]#[N+:8][O-:9].[CH:1]#[C:2][CH3:3]>>[cH:1]1[c:2]([CH3:3])[o:9][n:8][c:7]1[C:5]([CH3:4])=[O:6],water,298.15,18.013824142123642,-66.82234856100308
1,1,[CH3:4][C:5](=[O:6])[C:7]#[N+:8][O-:9].[CH:1]#[C:2][CH3:3]>>[cH:1]1[c:2]([CH3:3])[c:7]([C:5]([CH3:4])=[O:6])[n:8][o:9]1,water,298.15,23.6870788323347,-62.48128935839341
2,2,[CH2:1]=[CH:2][CH3:3].[CH:4]#[N+:5][C-:6]([CH3:7])[C:8]#[N:9]>>[CH2:1]1[CH:2]([CH3:3])[CH:4]=[N:5][C:6]1([CH3:7])[C:8]#[N:9],water,298.15,15.875895621136172,-51.88152615910866
3,3,[CH2:1]=[CH:2][CH3:3].[CH:4]#[N+:5][C-:6]([CH3:7])[C:8]#[N:9]>>[CH2:1]1[CH:2]([CH3:3])[C:6]([CH3:7])([C:8]#[N:9])[N:5]=[CH:4]1,water,298.15,15.155476944785317,-51.39868083364622
4,4,[CH3:5][C:6]([CH3:7])=[NH+:8][O-:9].[NH2:1][C:2]#[C:3][NH2:4]>>[NH2:1][C:2]1=[C:3]([NH2:4])[O:9][NH:8][C:6]1([CH3:5])[CH3:7],water,298.15,31.792804016733548,-22.632400764727723
5,5,[CH3:1][C:2]#[C:3][CH3:4].[CH3:5][N-:6][N+:7]#[C:8][C:9]([CH3:10])=[O:11]>>[CH3:1][c:2]1[c:3]([CH3:4])[n:6]([CH3:5])[n:7][c:8]1[C:9]([CH3:10])=[O:11],water,298.15,23.438094174940797,-84.83645875007423
6,6,[CH3:1][NH:2][C:3](=[O:4])[C:5]#[C:6][F:7].[CH3:8][CH:9]=[O+:10][O-:11]>>[CH3:1][NH:2][C:3](=[O:4])[C:5]1=[C:6]([F:7])[O:11][O:10][CH:9]1[CH3:8],water,298.15,11.725553773599616,-63.718402419519975
7,7,[CH3:1][NH:2][C:3](=[O:4])[C:5]#[C:6][F:7].[CH3:8][CH:9]=[O+:10][O-:11]>>[CH3:1][NH:2][C:3](=[O:4])[C:5]1=[C:6]([F:7])[CH:9]([CH3:8])[O:10][O:11]1,water,298.15,20.11557644303501,-58.63927041987717
8,8,[CH2-:8][O+:9]=[CH:10][CH3:11].[CH3:1][C:2]#[C:3][C:4](=[O:5])[NH:6][CH3:7]>>[CH3:1][C:2]1=[C:3]([C:4](=[O:5])[NH:6][CH3:7])[CH2:8][O:9][CH:10]1[CH3:11],water,298.15,7.2680437229602655,-86.99610167382544
9,9,[CH2-:8][O+:9]=[CH:10][CH3:11].[CH3:1][C:2]#[C:3][C:4](=[O:5])[NH:6][CH3:7]>>[CH3:1][C:2]1=[C:3]([C:4](=[O:5])[NH:6][CH3:7])[CH:10]([CH3:11])[O:9][CH2:8]1,water,298.15,6.289672901608011,-86.79967066656836
