,dipolarophile
0,CC(=O)C(Cl)=C(C(C)=O)C(C)=O
1,COC(OC)=C(OC)C(F)(F)F
2,COC(=O)/C=C/C(=O)OC
3,COC(=O)/C(Br)=C(/Br)C(=O)OC
4,CNC(=O)/C(F)=C(\F)C(=O)NC
5,CNC(=O)C(C(=O)NC)=C(C(=O)NC)c1ccccc1
6,C/C(F)=C(\C)F
7,CC(=O)C(C#N)=C(C(C)=O)C(C)=O
8,COC(=O)C(C(=O)OC)=C(F)F
9,CNC(=O)C(C)=C(C(=O)NC)C(=O)NC
10,CC(=O)/C(Br)=C(\Br)C(C)=O
11,CC(=O)C(C(C)=O)=C(c1ccccc1)c1ccccc1
12,CO/C(C(C)=O)=C(/OC)C(C)=O
13,FC(=C(c1ccccc1)c1ccccc1)c1ccccc1
14,CNC(=O)C(C(=O)NC)=C(OC)OC
15,CC(=O)/C(Cl)=C(/Cl)C(C)=O
16,C=C(OC)OC
17,C(=C/c1ccccc1)\c1ccccc1
18,COC(Cl)=C(OC)OC
19,COC(=O)C(F)=C(F)F
20,COC(=O)/C(=C(/C(=O)OC)c1ccccc1)c1ccccc1
21,CC(=O)/C(Br)=C(\Br)C(C)=O
22,Br/C(=C(\Br)c1ccccc1)c1ccccc1
23,CNC(=O)C(C(=O)NC)=C(C(=O)NC)c1ccccc1
24,C(=C\c1ccccc1)\c1ccccc1
25,C/C(=C(/C)C(F)(F)F)C(F)(F)F
26,CNC(=O)/C(C(C)=O)=C(/C(C)=O)C(=O)NC
27,C=CC(=O)OC
28,COC(=O)C(C(=O)OC)=C(F)F
29,COC(=O)C(OC)=C(OC)OC
30,CC(=O)C(=C(c1ccccc1)c1ccccc1)c1ccccc1
31,CC(=O)/C(Cl)=C(/Cl)C(C)=O
32,FC(F)=C(F)c1ccccc1
33,CO/C(F)=C(\F)OC
34,CO/C(Cl)=C(\Cl)OC
35,CO/C(F)=C(/F)OC
36,C=CC(C)=O
37,CC(=O)C(C(C)=O)=C(C(C)=O)c1ccccc1
38,C=C(OC)OC
39,CC(C)=C(c1ccccc1)c1ccccc1
40,C=CC(C)=O
41,COC(=O)C(C(=O)OC)=C(c1ccccc1)c1ccccc1
42,CC(=O)C(C)=C(C(C)=O)C(C)=O
43,FC(F)(F)C(=C(C(F)(F)F)C(F)(F)F)c1ccccc1
44,CC(C)=C(F)F
45,C=C(C(C)=O)C(C)=O
46,CNC(=O)C(Br)=C(Br)Br
47,CNC(=O)/C(=C(\C(=O)NC)C(F)(F)F)C(F)(F)F
48,FC(=C(c1ccccc1)c1ccccc1)c1ccccc1
49,CNC(=O)C(Cl)=C(C(=O)NC)C(=O)NC
50,CNC(=O)C(F)=C(F)F
51,CO/C=C/OC
52,C/C(Cl)=C(/C)Cl
53,CC(=O)/C(F)=C(/F)C(C)=O
54,CC(=O)C(F)=C(C(C)=O)C(C)=O
55,CNC(=O)/C(F)=C(/F)C(=O)NC
56,COC(OC)=C(Cl)Cl
57,CNC(=O)C(C(=O)NC)=C(c1ccccc1)c1ccccc1
58,COC(=O)/C=C/C(=O)OC
59,CO/C=C/OC
60,C/C(=C(/C)c1ccccc1)c1ccccc1
61,COC(=O)C(OC)=C(OC)OC
62,COC(=O)/C(C(C)=O)=C(/C(C)=O)C(=O)OC
63,CNC(=O)/C(C(=O)OC)=C(/C(=O)NC)C(=O)OC
64,CC(Br)=C(Br)Br
65,COC(F)=C(F)F
66,COC(=O)C(C(=O)OC)=C(Br)Br
67,C=C(OC)OC
68,CC(C)=C(C)Br
69,COC(Cl)=C(OC)OC
70,CNC(=O)C(=C(C(F)(F)F)C(F)(F)F)C(F)(F)F
71,CC(=C(C(F)(F)F)C(F)(F)F)C(F)(F)F
72,FC(F)=C(F)c1ccccc1
73,C/C(Cl)=C(\C)Cl
74,COC(=O)/C(=C(\C(=O)OC)C(F)(F)F)C(F)(F)F
75,CNC(=O)/C(Cl)=C(\Cl)C(=O)NC
76,CC(=O)/C(Cl)=C(\Cl)C(C)=O
77,ClC(Cl)=C(Cl)c1ccccc1
78,COC(=O)C(C(=O)OC)=C(C(C)=O)C(C)=O
79,N#CC(C#N)=C(c1ccccc1)c1ccccc1
80,BrC(=C(c1ccccc1)c1ccccc1)c1ccccc1
81,CNC(=O)/C(C)=C(/C)C(=O)NC
82,COC(=O)/C(C(C)=O)=C(\C(C)=O)C(=O)OC
83,COC(C#N)=C(OC)OC
84,COC(=O)/C(OC)=C(\OC)C(=O)OC
85,COC(OC)=C(C(F)(F)F)C(F)(F)F
86,COC(=O)/C(F)=C(\F)C(=O)OC
87,CC(=O)C(C(C)=O)=C(C)C
88,CC(=O)/C(=C(/C(C)=O)c1ccccc1)c1ccccc1
