,dipole
0,CNC(=O)[C-](C(=O)NC)[N+](C)=C(C)C(C)=O
1,CC(=O)N=[NH+][N-]c1ccccc1
2,CNC(=O)[C-](C(=O)NC)[N+](C)=C(C(C)=O)C(C)=O
3,C[N+](=Nc1ccccc1)[N-]C#N
4,COC(=O)[C-]([O+]=C(C)c1ccccc1)C(C)=O
5,CNC(=O)[N-][O+]=NC(=O)OC
6,CC(=O)[C-]([O+]=CC#N)C(C)=O
7,CC(=O)C=[NH+][C-](C#N)c1ccccc1
8,CNC(=O)[C-](C#N)[N+](C)=C(C)c1ccccc1
9,CNC(=O)C(C(C)=O)=[N+](C)[C-](C(=O)NC)C(=O)OC
10,CNC(=O)C(C(C)=O)=[N+](C)[C-](C(C)=O)C(=O)OC
11,CNC(=O)[C-](C(=O)OC)[N+](C)=C(C)C(=O)OC
12,CNC(=O)C=[N+](C)[C-](C)C(=O)NC
13,CNC(=O)[C-]([O+]=C(c1ccccc1)c1ccccc1)c1ccccc1
14,CNC(=O)[C-](C(=O)NC)[N+](C)=C(C)C#N
15,CNC(=O)C(C)=[NH+][C-](C#N)C#N
16,CC(=O)C(C)=[NH+][N-]c1ccccc1
17,COC(=O)C(C#N)=[O+][C-](c1ccccc1)c1ccccc1
18,COC(=O)[C-](C(C)=O)[N+](C)=C(C)C#N
19,CNC(=O)C=[N+](C)[C-](C)C
20,CC(=O)[C-](C(C)=O)[N+](C)=C(C)C#N
21,CNC(=O)[CH-][NH+]=C(C(=O)OC)C(=O)OC
22,CNC(=O)[C-]([NH+]=C(C)C(=O)OC)c1ccccc1
23,CNC(=O)C(=[NH+][C-](c1ccccc1)c1ccccc1)C(C)=O
24,CNC(=O)C(C)=[NH+][NH-]
25,CNC(=O)C(C)=[NH+][C-](C)C(=O)OC
26,CC(=O)C(C#N)=[O+][CH-]c1ccccc1
27,COC(=O)C(C#N)=[O+][C-](C)C#N
28,[O-][O+]=C(c1ccccc1)c1ccccc1
29,CNC(=O)C(=[O+][C-](C)c1ccccc1)c1ccccc1
30,CC(=O)[C-]([NH+]=C(C#N)C#N)c1ccccc1
31,CNC(=O)C=[NH+][C-](C)C#N
32,CC(=O)C=[O+][C-](C(C)=O)C(C)=O
33,CNC(=O)[C-](C#N)[N+](C)=C(C(C)=O)C(C)=O
34,C=[O+][CH-]c1ccccc1
35,C[CH-][O+]=C(C#N)C(=O)OC
36,CC(C)=[NH+][C-](C)c1ccccc1
37,COC(=O)[C-](C(=O)OC)[N+](C)=CC(C)=O
38,COC(=O)[N-][NH+]=C(C)C#N
39,COC(=O)C(C#N)=[NH+][C-](C)C#N
40,CNC(=O)C(=[O+][C-](C(=O)NC)C(=O)OC)C(=O)NC
41,COC(=O)C(=[O+][O-])C(C)=O
42,CNC(=O)C(C)=[N+](C)[C-](C(=O)NC)C(=O)OC
43,CNC(=O)C(C(=O)NC)=[N+](C)[C-](C(C)=O)C(=O)OC
44,CC(C#N)=[N+](C)[C-](c1ccccc1)c1ccccc1
45,COC(=O)C(=[NH+][C-](C)C(=O)OC)C(=O)OC
46,CNC(=O)C(C(C)=O)=[N+](C)[C-](C)C(=O)NC
47,CC(=O)C(C#N)=[O+][C-](C#N)C(C)=O
48,N#C[N-][O+]=Cc1ccccc1
49,CN=[NH+][NH-]
50,COC(=O)C(C#N)=[N+](C)[C-](C(C)=O)C(C)=O
51,COC(=O)[N-][O+]=NC#N
52,COC(=O)C=[O+][C-](C)C#N
53,CC(C)=[NH+][C-](c1ccccc1)c1ccccc1
54,COC(=O)[CH-][O+]=C(C)C#N
55,COC(=O)[C-]([O+]=CC(C)=O)c1ccccc1
56,CNC(=O)C(=[NH+][N-]C#N)C(=O)NC
57,COC(=O)C=[NH+][O-]
58,CNC(=O)[CH-][O+]=C(C#N)C(=O)OC
59,CNC(=O)C(=[NH+][C-](C)C(=O)OC)C(=O)NC
60,CNC(=O)C(=[O+][C-](C(C)=O)C(=O)NC)c1ccccc1
61,CNC(=O)[C-](C(=O)NC)[N+](C)=C(C(=O)OC)c1ccccc1
62,COC(=O)C(C#N)=[NH+][O-]
63,COC(=O)[C-](C)[O+]=C(C#N)C(C)=O
64,CNC(=O)C(C(=O)OC)=[N+](C)[C-](C(=O)NC)C(=O)OC
65,COC(=O)C(=[NH+][C-](c1ccccc1)c1ccccc1)c1ccccc1
66,CNC(=O)C=[NH+][C-](C#N)C(C)=O
67,CNC(=O)[C-](C)[O+]=C(c1ccccc1)c1ccccc1
68,COC(=O)[C-](C)[N+](C)=C(C(C)=O)c1ccccc1
69,CNC(=O)[C-]([NH+]=CC(=O)OC)C(C)=O
70,CC(C)=[NH+][N-]C#N
71,COC(=O)C(C)=[N+](C)[C-](C#N)C#N
72,CNC(=O)C=[O+][CH-]C#N
73,COC(=O)[C-](C#N)[N+](C)=CC#N
74,CNC(=O)C(=[O+][C-](C(C)=O)C(C)=O)C(C)=O
75,COC(=O)[CH-][N+](C)=CC#N
76,CNC(=O)C(=[NH+][C-](C(C)=O)C(C)=O)C(C)=O
77,CNC(=O)[C-]([NH+]=C(C)C(C)=O)C(C)=O
78,CNC(=O)C(C#N)=[O+][N-]C#N
79,CNC(=O)C(=[NH+][N-]C#N)C(=O)OC
80,CC(C#N)=[N+](C)[C-](c1ccccc1)c1ccccc1
81,COC(=O)C=[O+][CH-]C#N
82,CNC(=O)C(=[NH+][C-](C)C(=O)OC)C(=O)NC
83,C[CH-][N+](C)=CC#N
84,CC(=O)C(c1ccccc1)=[N+](C)[C-](C(C)=O)C(C)=O
85,C[CH-][NH+]=CC(=O)OC
86,C=[NH+][C-](C#N)C(=O)OC
