,dipole
0,CNC(=O)C(C)=[O+][C-](C(=O)NC)C(=O)NC
1,CNC(=O)C(=[NH+][C-](C(=O)OC)c1ccccc1)C(C)=O
2,CNC(=O)C(=[O+][C-](C)C(C)=O)C(=O)NC
3,CNC(=O)[N-][O+]=NC(=O)OC
4,COC(=O)[C-](C(C)=O)[N+](C)=C(C)c1ccccc1
5,C[N-][O+]=C(C(=O)NC)C(=O)OC
6,CNC(=O)C(C)=[N+](C)[C-](C)c1ccccc1
7,N#C[C-](C#N)[O+]=C(c1ccccc1)c1ccccc1
8,CC=[NH+][C-](C(C)=O)C(C)=O
9,CC(=O)N=[NH+][N-]C#N
10,C[CH-][NH+]=C(C)C(=O)NC
11,CNC(=O)C(=[O+][C-](C#N)C(=O)OC)C(=O)NC
12,CNC(=O)[C-](C)[N+](C)=C(C#N)c1ccccc1
13,CC(=O)C=[N+](C)[C-](C(C)=O)C(C)=O
14,CNC(=O)[N-][N+](C)=C(C#N)C(=O)NC
15,CNC(=O)[CH-][NH+]=C(C(=O)OC)C(=O)OC
16,CC(=O)[C-]([O+]=C(c1ccccc1)c1ccccc1)c1ccccc1
17,CNC(=O)C(C#N)=[O+][C-](c1ccccc1)c1ccccc1
18,[CH2-][N+](C)=C(C#N)C(=O)OC
19,COC(=O)C=[NH+][N-]c1ccccc1
20,CNC(=O)[C-]([O+]=CC#N)C(C)=O
21,CC=[O+][C-](C)C
22,CNC(=O)C(C#N)=[O+][C-](C)C#N
23,[CH2-][O+]=C(C(C)=O)C(=O)NC
24,CNC(=O)[C-]([O+]=C(C)c1ccccc1)C(=O)NC
25,COC(=O)[CH-][NH+]=Cc1ccccc1
26,CNC(=O)C=[N+](C)[NH-]
27,C[N-][O+]=C(C#N)C#N
28,CNC(=O)[N-][NH+]=Nc1ccccc1
29,CC(=O)C(=[O+][C-](c1ccccc1)c1ccccc1)C(C)=O
30,CC(C)=[NH+][C-](C)c1ccccc1
31,C[N+](=Cc1ccccc1)[C-](C#N)C#N
32,CNC(=O)C(C)=[N+](C)[C-](C)C(C)=O
33,C[CH-][N+](C)=C(C(C)=O)c1ccccc1
34,C(=[O+][N-]c1ccccc1)c1ccccc1
35,CC(c1ccccc1)=[N+](C)[CH-]c1ccccc1
36,CNC(=O)C(=[O+][C-](C(=O)NC)c1ccccc1)C(=O)NC
37,CC(=O)C(C)=[O+][CH-]c1ccccc1
38,CC=[NH+][N-]C
39,CNC(=O)[N-][N+](C)=CC(C)=O
40,CC(C#N)=[NH+][C-](C)C#N
41,COC(=O)C(=[O+][C-](C(C)=O)C(=O)OC)C(=O)OC
42,CC(C#N)=[O+][NH-]
43,COC(=O)[C-](C)[O+]=C(C)C(C)=O
44,COC(=O)[C-]([NH+]=C(C#N)c1ccccc1)c1ccccc1
45,CNC(=O)[C-]([O+]=C(C)C)C(=O)OC
46,C[CH-][O+]=C(C(C)=O)c1ccccc1
47,CC=[O+][C-](C)C(C)=O
48,CNC(=O)[N-][N+](C)=C(C#N)C(C)=O
49,CN=[NH+][NH-]
50,COC(=O)C(c1ccccc1)=[N+](C)[CH-]c1ccccc1
51,COC(=O)[N-][N+](C)=Cc1ccccc1
52,CC=[O+][N-]C#N
53,CC(C)=[NH+][C-](c1ccccc1)c1ccccc1
54,CNC(=O)C(C#N)=[O+][C-](C#N)C#N
55,COC(=O)C(C#N)=[N+](C)[CH-]C#N
56,CNC(=O)[C-](C)[NH+]=C(C(C)=O)C(=O)OC
57,CN=[N+](C)[N-]C(=O)NC
58,CC(c1ccccc1)=[N+](C)[C-](C)C
59,CC(=O)[N-][NH+]=C(C)C#N
60,CC(C)=[N+](C)[C-](C#N)c1ccccc1
61,COC(=O)C(=[O+][C-](C#N)C#N)c1ccccc1
62,COC(=O)[N-][N+](C)=N
63,COC(=O)[C-](C)[NH+]=C(C(C)=O)C(C)=O
64,CNC(=O)C=[N+](C)[C-](c1ccccc1)c1ccccc1
65,CNC(=O)[C-](C(C)=O)[N+](C)=C(c1ccccc1)c1ccccc1
66,CC(=O)[C-]([NH+]=C(C)C#N)C(C)=O
67,CC(=O)C(c1ccccc1)=[N+](C)[NH-]
68,CNC(=O)C=[N+](C)[C-](C)C(=O)NC
69,COC(=O)C(=[O+][CH-]C(C)=O)c1ccccc1
70,COC(=O)C(C)=[O+][C-](C(=O)OC)C(=O)OC
71,CC(=O)[C-](c1ccccc1)[N+](C)=C(C)c1ccccc1
72,CNC(=O)C=[N+](C)[C-](C(=O)OC)c1ccccc1
73,CNC(=O)N=[O+][N-]C(=O)NC
