,rxn_id,rxn_smiles,solvent,temp,E_r,E_act,H_r,H_act,G_r,G_act
0,0,[CH3:4][C:5](=[O:6])[C:7]#[N+:8][O-:9].[CH:1]#[C:2][CH3:3]>>[cH:1]1[c:2]([CH3:3])[o:9][n:8][c:7]1[C:5]([CH3:4])=[O:6],water,298.15,-82.34274135339739,8.27201311987275,-78.85744394651897,8.377822839517979,-66.82234856100308,18.013824142123642
1,1,[CH3:4][C:5](=[O:6])[C:7]#[N+:8][O-:9].[CH:1]#[C:2][CH3:3]>>[cH:1]1[c:2]([CH3:3])[c:7]([C:5]([CH3:4])=[O:6])[n:8][o:9]1,water,298.15,-78.28988168128699,13.193997258899664,-74.6738986694275,13.528911705868543,-62.481289358393404,23.6870788323347
2,2,[CH2:1]=[CH:2][CH3:3].[CH:4]#[N+:5][C-:6]([CH3:7])[C:8]#[N:9]>>[CH2:1]1[CH:2]([CH3:3])[CH:4]=[N:5][C:6]1([CH3:7])[C:8]#[N:9],water,298.15,-70.80716064555796,3.533360893756162,-65.75360233067215,4.292324392243525,-51.88152615910866,15.875895621136172
3,3,[CH2:1]=[CH:2][CH3:3].[CH:4]#[N+:5][C-:6]([CH3:7])[C:8]#[N:9]>>[CH2:1]1[CH:2]([CH3:3])[C:6]([CH3:7])([C:8]#[N:9])[N:5]=[CH:4]1,water,298.15,-70.68208169211263,2.9268704770602585,-65.60137476753441,3.702444529119174,-51.39868083364622,15.155476944785317
4,4,[CH3:5][C:6]([CH3:7])=[NH+:8][O-:9].[NH2:1][C:2]#[C:3][NH2:4]>>[NH2:1][C:2]1=[C:3]([NH2:4])[O:9][NH:8][C:6]1([CH3:5])[CH3:7],water,298.15,-39.788835214558105,19.03623533682902,-36.5038828791905,19.749810648539263,-22.632400764727723,31.792804016733548
5,5,[CH3:1][C:2]#[C:3][CH3:4].[CH3:5][N-:6][N+:7]#[C:8][C:9]([CH3:10])=[O:11]>>[CH3:1][c:2]1[c:3]([CH3:4])[n:6]([CH3:5])[n:7][c:8]1[C:9]([CH3:10])=[O:11],water,298.15,-102.35891431015258,12.241596009642944,-98.2614684884243,12.576098190457605,-84.83645875007423,23.438094174940794
6,6,[CH3:1][NH:2][C:3](=[O:4])[C:5]#[C:6][F:7].[CH3:8][CH:9]=[O+:10][O-:11]>>[CH3:1][NH:2][C:3](=[O:4])[C:5]1=[C:6]([F:7])[O:11][O:10][CH:9]1[CH3:8],water,298.15,-80.36759441539496,-0.6912945571019706,-77.36689134493791,-0.2327557074812853,-63.721331489266035,11.722624703853555
7,7,[CH3:1][NH:2][C:3](=[O:4])[C:5]#[C:6][F:7].[CH3:8][CH:9]=[O+:10][O-:11]>>[CH3:1][NH:2][C:3](=[O:4])[C:5]1=[C:6]([F:7])[CH:9]([CH3:8])[O:10][O:11]1,water,298.15,-73.72135292123426,8.037369757227331,-70.87640797241852,8.67742900624228,-57.78504555912069,20.969801303791495
8,8,[CH2-:8][O+:9]=[CH:10][CH3:11].[CH3:1][C:2]#[C:3][C:4](=[O:5])[NH:6][CH3:7]>>[CH3:1][C:2]1=[C:3]([C:4](=[O:5])[NH:6][CH3:7])[CH2:8][O:9][CH:10]1[CH3:11],water,298.15,-106.60146695871431,-6.979893301620664,-101.77425900037916,-5.786561795892941,-86.99610167382544,7.2680437229602655
9,9,[CH2-:8][O+:9]=[CH:10][CH3:11].[CH3:1][C:2]#[C:3][C:4](=[O:5])[NH:6][CH3:7]>>[CH3:1][C:2]1=[C:3]([C:4](=[O:5])[NH:6][CH3:7])[CH:10]([CH3:11])[O:9][CH2:8]1,water,298.15,-106.08873210500337,-7.4445910500757,-101.2866052583196,-6.3116896181318145,-86.79967066656836,6.289672901608011
